SubID,Include,Exclusion_reason,AgeYear,AgeMonths,Child_GenderClean,ConditionOrder,Counting,Demographics,Task,TrialLabel,Comparison,Side,TrialType,Response.keys,Response.corr
BABSYN406,1,NA,6,80,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN406,1,NA,6,80,NA,MO,yes,no,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
