SubID,Include,Exclusion_reason,Counting,Task,Trial,response,scorenotes,accuracy
BABSYN403,1,NA,yes,Forward,18to21,"18, 19, 20, 30, 40",NA,0
BABSYN403,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN403,1,NA,yes,Forward,35to39,"35, 34, 33, 32",NA,0
BABSYN403,1,NA,yes,Forward,4to9,"4, 3, 2, 1, 11, 12",NA,0
BABSYN403,1,NA,yes,Forward,5to7,"5, 4, 3, 2, 1",NA,0
BABSYN403,1,NA,yes,Forward,6to12,"6, 4, 3, 2, 1",NA,0
BABSYN403,1,NA,yes,next,target23,24,NA,1
BABSYN403,1,NA,yes,next,target29,28,NA,0
BABSYN403,1,NA,yes,next,target37,38,NA,1
BABSYN403,1,NA,yes,next,target40,50,NA,0
BABSYN403,1,NA,yes,next,target59,54,NA,0
BABSYN403,1,NA,yes,next,target62,63,NA,1
BABSYN403,1,NA,yes,next,target70,80,NA,0
BABSYN403,1,NA,yes,next,target86,96,NA,0
BABSYN403,1,NA,yes,skip,by10s,"10, 20, 21, 22, 23",NA,0
BABSYN403,1,NA,yes,skip,by2s,"2, 4, 3, 2, 1",NA,0
BABSYN403,1,NA,yes,skip,by5s,"21, 22, 23, 24",Started counting from # other than beginning of sequence,0
BABSYN404,1,NA,yes,Backward,13to9,"13, 12, 10, 9",NA,0
BABSYN404,1,NA,yes,Backward,18to14,"17, 16, 15, 14, 15",NA,0
BABSYN404,1,NA,yes,Backward,26to22,"24, 23, 24, 25",NA,0
BABSYN404,1,NA,yes,Backward,5to1,"3, 2, 1",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Backward,7to3,"7, 6, 5, 4, 3",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Forward,21to24,"22, 23, 24",NA,0
BABSYN404,1,NA,yes,Forward,35to39,"36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN404,1,NA,yes,Forward,6to12,"1, 2, 3, 4, 5, 6, 7, (realized)",Started counting from smaller #,0
BABSYN404,1,NA,yes,next,target23,24,NA,1
BABSYN404,1,NA,yes,next,target29,30,NA,1
BABSYN404,1,NA,yes,next,target37,38,NA,1
BABSYN404,1,NA,yes,next,target40,41,NA,1
BABSYN404,1,NA,yes,next,target59,61,NA,0
BABSYN404,1,NA,yes,next,target62,63,NA,1
BABSYN404,1,NA,yes,next,target70,71,NA,1
BABSYN404,1,NA,yes,next,target86,87,NA,1
BABSYN404,1,NA,yes,skip,by10s,"10, 20, 30, 40, 50",Counted all #'s in correct order?,1
BABSYN404,1,NA,yes,skip,by2s,"2, 4, 6, 8, 12",NA,0
BABSYN404,1,NA,yes,skip,by5s,"5, 10, 15, 20, 25",Counted all #'s in correct order?,1
BABSYN405,0,stopped early,no,Backward,13to9,na,NA,NA
BABSYN405,0,stopped early,no,Backward,18to14,na,NA,NA
BABSYN405,0,stopped early,no,Backward,26to22,na,NA,NA
BABSYN405,0,stopped early,no,Backward,5to1,na,NA,NA
BABSYN405,0,stopped early,no,Backward,7to3,na,NA,NA
BABSYN405,0,stopped early,no,Backward,8to4,na,NA,NA
BABSYN405,0,stopped early,no,Forward,18to21,na,NA,NA
BABSYN405,0,stopped early,no,Forward,21to24,na,NA,NA
BABSYN405,0,stopped early,no,Forward,35to39,na,NA,NA
BABSYN405,0,stopped early,no,Forward,4to9,na,NA,NA
BABSYN405,0,stopped early,no,Forward,5to7,na,NA,NA
BABSYN405,0,stopped early,no,Forward,6to12,na,NA,NA
BABSYN405,0,stopped early,no,next,target23,NA,NA,NA
BABSYN405,0,stopped early,no,next,target29,NA,NA,NA
BABSYN405,0,stopped early,no,next,target37,NA,NA,NA
BABSYN405,0,stopped early,no,next,target40,NA,NA,NA
BABSYN405,0,stopped early,no,next,target59,NA,NA,NA
BABSYN405,0,stopped early,no,next,target62,NA,NA,NA
BABSYN405,0,stopped early,no,next,target70,NA,NA,NA
BABSYN405,0,stopped early,no,next,target86,NA,NA,NA
BABSYN405,0,stopped early,no,skip,by10s,na,NA,NA
BABSYN405,0,stopped early,no,skip,by2s,na,NA,NA
BABSYN405,0,stopped early,no,skip,by5s,na,NA,NA
BABSYN406,1,NA,yes,Backward,13to9,"13, 12, 11, 10, 9",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Backward,18to14,"18, 17, 16, 15, 14",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Backward,26to22,"26, 25, 24, 23, 22",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Backward,7to3,"7, 6, 5, 4, 3",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,35to39,"35, 36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN406,1,NA,yes,next,target23,24,NA,1
BABSYN406,1,NA,yes,next,target29,30,NA,1
BABSYN406,1,NA,yes,next,target37,38,NA,1
BABSYN406,1,NA,yes,next,target40,41,NA,1
BABSYN406,1,NA,yes,next,target59,60,NA,1
BABSYN406,1,NA,yes,next,target62,63,NA,1
BABSYN406,1,NA,yes,next,target70,71,NA,1
